Month,Actual,Holdout_Pred,Forecast
2023-11-01,261.0,,
2023-12-01,753.88,,
2024-01-01,626.0,,
2024-02-01,471.0,,
2024-03-01,273.0,,
2024-04-01,398.0,,
2024-05-01,256.0,,
2024-06-01,168.0,,
2024-07-01,316.0,,
2024-08-01,285.0,,
2024-09-01,587.0,,
2024-10-01,614.0,,
2024-11-01,358.0,,
2024-12-01,445.0,408.8466104403394,
2025-01-01,442.0,375.9477519633281,
2025-02-01,261.0,336.0719069215955,
2025-03-01,258.0,285.13373067473714,
2025-04-01,,,317.29167022452145
2025-05-01,,,280.7602508959664
2025-06-01,,,258.1210614529183
2025-07-01,,,296.1960618798629
2025-08-01,,,288.2208928715164
2025-09-01,,,365.9144748237954
