Month,Actual,Holdout_Pred,Forecast
2022-05-01,47.0,,
2022-06-01,85.0,,
2022-07-01,122.0,,
2022-08-01,177.0,,
2022-09-01,174.0,,
2022-10-01,204.0,,
2022-11-01,211.0,,
2022-12-01,223.0,,
2023-01-01,132.0,,
2023-02-01,130.0,,
2023-03-01,166.0,,
2023-04-01,62.0,,
2023-05-01,192.0,,
2023-06-01,234.61999999999998,,
2023-07-01,95.0,,
2023-08-01,86.0,,
2023-09-01,166.0,,
2023-10-01,134.0,,
2023-11-01,136.0,,
2023-12-01,168.0,,
2024-01-01,189.0,,
2024-02-01,141.0,,
2024-03-01,208.0,,
2024-04-01,51.0,,
2024-05-01,19.0,,
2024-06-01,60.0,,
2024-07-01,85.0,,
2024-08-01,81.0,,
2024-09-01,52.0,83.60248524539905,
2024-10-01,116.0,82.36495121251498,
2024-11-01,118.0,85.80277327904416,
2024-12-01,158.0,82.33724012425061,
2025-01-01,89.0,96.7295513826075,
2025-02-01,70.0,109.49510866163598,
2025-03-01,59.0,121.66789009454777,
2025-04-01,,,45.817729042025
2025-05-01,,,60.50562268209751
2025-06-01,,,60.238602747175946
2025-07-01,,,62.77272828303434
2025-08-01,,,71.91784911349392
2025-09-01,,,68.91667679787022
