sku,date,model,forecast
4806533602379,2025-02-01,GradientBoosting,669.0
4806533602379,2025-03-01,GradientBoosting,1080.0
4806533602379,2025-04-01,GradientBoosting,1470.6
4806533602379,2025-05-01,GradientBoosting,899.0
4806533602379,2024-12-01,LSTM,482.1983591973781
4806533602379,2025-01-01,LSTM,450.684757463336
4806533602379,2025-02-01,LSTM,426.0757538044452
4806533602379,2025-03-01,LSTM,478.15182636559007
4806533602379,2025-04-01,LSTM,474.7542214912176
4806533602379,2025-05-01,LSTM,476.8301515603065
4806533602379,2024-12-01,RandomForest,397.23802996932193
4806533602379,2025-01-01,RandomForest,397.2380299693205
4806533602379,2025-02-01,RandomForest,397.2380299693205
4806533602379,2025-03-01,RandomForest,397.2380299693209
4806533602379,2025-04-01,RandomForest,397.2380299693216
4806533602379,2025-05-01,RandomForest,397.2380299693213
4807788526762,2025-04-01,ExtraTrees,55.18777633086588
4807788526762,2025-05-01,ExtraTrees,61.97004314147913
4807788526762,2025-06-01,ExtraTrees,64.53134133590358
4807788526762,2025-07-01,ExtraTrees,67.17737516412633
4807788526762,2025-08-01,ExtraTrees,70.96203860045213
4807788526762,2025-09-01,ExtraTrees,73.05598983375657
4807788526762,2025-04-01,GradientBoosting,45.817729042025
4807788526762,2025-05-01,GradientBoosting,60.50562268209751
4807788526762,2025-06-01,GradientBoosting,60.238602747175946
4807788526762,2025-07-01,GradientBoosting,62.77272828303434
4807788526762,2025-08-01,GradientBoosting,71.91784911349392
4807788526762,2025-09-01,GradientBoosting,68.91667679787022
4807788526762,2025-04-01,LSTM,87.5783208544189
4807788526762,2025-05-01,LSTM,87.9769465762654
4807788526762,2025-06-01,LSTM,92.38628692933692
4807788526762,2025-07-01,LSTM,100.0173620046961
4807788526762,2025-08-01,LSTM,101.56566472201555
4807788526762,2025-09-01,LSTM,103.61946486008516
4807788526762,2025-04-01,RandomForest,93.71617675690705
4807788526762,2025-05-01,RandomForest,92.78082447024568
4807788526762,2025-06-01,RandomForest,89.84544693567317
4807788526762,2025-07-01,RandomForest,93.36759661751874
4807788526762,2025-08-01,RandomForest,98.80644355490502
4807788526762,2025-09-01,RandomForest,101.58724591252312
4807788561688,2025-04-01,ExtraTrees,232.6770804065564
4807788561688,2025-05-01,ExtraTrees,144.91011963310132
4807788561688,2025-06-01,ExtraTrees,300.95152615025813
4807788561688,2025-07-01,ExtraTrees,188.1227940511716
4807788561688,2025-08-01,ExtraTrees,319.4599709535851
4807788561688,2025-09-01,ExtraTrees,965.291334361418
4807788561688,2025-04-01,GradientBoosting,230.87953323720623
4807788561688,2025-05-01,GradientBoosting,152.84884874932683
4807788561688,2025-06-01,GradientBoosting,295.55233818997925
4807788561688,2025-07-01,GradientBoosting,200.8103605365285
4807788561688,2025-08-01,GradientBoosting,340.4013978947148
4807788561688,2025-09-01,GradientBoosting,975.7398476021116
4807788561688,2025-04-01,LSTM,356.85213051519395
4807788561688,2025-05-01,LSTM,259.26533699990506
4807788561688,2025-06-01,LSTM,428.8414374793768
4807788561688,2025-07-01,LSTM,352.36399378939865
4807788561688,2025-08-01,LSTM,485.2629102394581
4807788561688,2025-09-01,LSTM,1138.5347945972082
4807788561688,2025-04-01,RandomForest,232.2317522493841
4807788561688,2025-05-01,RandomForest,166.24734416484364
4807788561688,2025-06-01,RandomForest,303.31144357649504
4807788561688,2025-07-01,RandomForest,204.6675026250696
4807788561688,2025-08-01,RandomForest,334.81952829141323
4807788561688,2025-09-01,RandomForest,978.4790438225068
4807788562593,2025-04-01,ExtraTrees,45.52476947178298
4807788562593,2025-05-01,ExtraTrees,93.98679820369792
4807788562593,2025-06-01,ExtraTrees,103.2691456753748
4807788562593,2025-07-01,ExtraTrees,93.3969332598457
4807788562593,2025-08-01,ExtraTrees,95.07587188792648
4807788562593,2025-09-01,ExtraTrees,101.83817623444892
4807788562593,2025-04-01,GradientBoosting,45.354023893792174
4807788562593,2025-05-01,GradientBoosting,86.33055920387062
4807788562593,2025-06-01,GradientBoosting,86.77876023678652
4807788562593,2025-07-01,GradientBoosting,81.63677379877879
4807788562593,2025-08-01,GradientBoosting,91.797068882732
4807788562593,2025-09-01,GradientBoosting,96.37269283155436
4807788562593,2025-04-01,LSTM,123.1822356383502
