sku,avg_daily_demand,std_daily_demand,SS,ROP,EOQ
0725765883117,13.301960784313726,30.462577491915887,0.0,133.01960784313727,9284.218108292853
4800067551165,2.243137254901961,12.926015534553741,0.0,22.431372549019606,3812.5489389337295
4800234406465,2.9295238095238094,10.078979429016224,0.0,29.295238095238094,4356.98454044931
4800308991491,2.2047619047619045,8.35113504756288,0.0,22.047619047619044,3779.795912857881
4800369000545,4.2942857142857145,17.47146052203734,0.0,42.94285714285714,5275.127622017446
4800369000675,2.2181818181818183,7.48944965004813,0.0,22.181818181818183,3791.28186525589
4801010194002,2.045714285714286,8.576882485219562,0.0,20.45714285714286,3640.9104042023023
4806033302731,2.5323809523809526,14.343577213614221,0.0,25.323809523809526,4050.904660866332
4806033304131,2.3095238095238098,5.8692571311630815,0.0,23.0952380952381,3868.5545473360316
4806501130125,2.0761904761904764,8.193083097604813,0.0,20.761904761904763,3667.930518114307
4806502850008,3.575238095238095,18.311698974364205,0.0,35.752380952380946,4813.267378521877
4806504260614,10.233333333333333,17.8784476084723,0.0,102.33333333333333,8143.218037115303
4806504653164,3.391919191919192,19.20975394076266,0.0,33.91919191919192,4688.244486333489
4806504653348,3.8862068965517245,8.221707220664799,0.0,38.862068965517246,5018.2288399050885
4806521160294,1.9980952380952381,12.869704725435152,0.0,19.98095238095238,3598.28530592797
4806523301312,2.9752380952380952,26.25296781942436,0.0,29.752380952380953,4390.847623995037
4806524143348,2.48125,13.23752709745721,0.0,24.8125,4009.8004937901837
4806524147254,8.54814814814815,41.471286362887184,0.0,85.4814814814815,6445.4635209579765
4806524772906,7.42,24.000079364948142,0.0,74.2,6934.08970233296
4806524781854,9.545098039215686,46.18869545933609,0.0,95.45098039215686,7864.61920846252
4806527192022,5.697222222222222,99.5497578747899,0.0,56.97222222222222,6076.018433151763
4806527194088,6.621428571428571,24.738282089356986,0.0,66.21428571428571,6550.332597880595
4806527201342,25.25,272.96061987033954,0.0,252.5,7385.1201750547025
4806533602355,8.091666666666667,29.758173480388354,0.0,80.91666666666667,7241.132508109487
4806533602362,7.536666666666666,11.73170758939051,0.0,75.36666666666666,6379.498412884825
4806533602379,26.02,58.031961636916705,0.0,260.2,12984.975933747432
4806534570240,6.076190476190476,14.78468170732171,0.0,60.76190476190476,6274.847750002727
4807788048462,2.242857142857143,6.356187571821592,0.0,22.42857142857143,3812.31088523933
4807788402646,2.292929292929293,9.413394443530716,0.0,22.929292929292927,3854.631216884673
4807788526762,4.231428571428571,10.652988428839393,0.0,42.31428571428572,5236.378246732865
480778853619,1.997142857142857,7.805273660722442,0.0,19.97142857142857,3597.427652404662
4807788559593,2.7539215686274514,10.817869121740932,0.0,27.539215686274513,4224.383004026255
4807788560438,2.2295238095238097,8.40468723433554,0.0,22.295238095238098,3800.962284174139
4807788561688,16.233333333333334,47.27953999311736,0.0,162.33333333333334,10256.315127763968
4807788562593,5.914285714285714,19.644451679614708,0.0,59.14285714285714,6190.684245587998
4807788562630,2.719047619047619,10.544237875776153,0.0,27.19047619047619,4197.550306003321
4809013625080,3.4504761904761905,9.578199453023764,0.0,34.50476190476191,4728.539490612901
4809015142035,4.704444444444444,18.93277480153989,0.0,47.044444444444444,5521.304193757123
54021235,15.722222222222223,45.098657284767235,0.0,157.22222222222223,7137.226352022191
69853920,6.948717948717948,28.732348724875646,0.0,69.48717948717947,6710.267677797385
8902269016674,2.5516129032258066,14.05029368690107,0.0,25.516129032258064,4066.2576914041274
8904159620923,2.7849462365591395,9.060149460341568,0.0,27.849462365591396,4248.111534894443
8904179014702,24.113333333333333,56.370677957013555,0.0,241.13333333333333,11411.047278843427
8904179017819,12.344444444444443,76.34462798535482,0.0,123.44444444444443,6324.239084664652
8904184004972,2.0295238095238095,11.429217068597502,0.0,20.295238095238094,3626.474084522635
8904186000521,5.66,13.913722243406564,0.0,56.6,6056.13738285386
8944164010272,4.035897435897436,15.165128690687997,0.0,40.35897435897436,5113.962786784373
8944164510321,11.523809523809524,33.22176567080254,0.0,115.23809523809524,6600.0
8961100510023,2.0942857142857143,14.012073625374413,0.0,20.942857142857143,3683.879942203794
8994388106237,3.0152380952380953,9.575125336520877,0.0,30.152380952380952,4420.2650211432865
