sku,date,qty_actual,ExtraTrees_forecast,GradientBoosting_forecast,LSTM_forecast,RandomForest_forecast
0725765883117,2023-11-01,261.0,,,,
0725765883117,2023-12-01,765.0,,,,
0725765883117,2024-01-01,626.0,,,,
0725765883117,2024-02-01,471.0,,,,
0725765883117,2024-03-01,273.0,,,,
0725765883117,2024-04-01,398.0,,,,
0725765883117,2024-05-01,256.0,,,,
0725765883117,2024-06-01,168.0,,,,
0725765883117,2024-07-01,316.0,,,,
0725765883117,2024-08-01,285.0,,,,
0725765883117,2024-09-01,587.0,,,,
0725765883117,2024-10-01,614.0,,,,
0725765883117,2024-11-01,358.0,,,,
0725765883117,2024-12-01,445.0,,,,
0725765883117,2025-01-01,442.0,,,,
0725765883117,2025-02-01,261.0,,,,
0725765883117,2025-03-01,258.0,,,,
0725765883117,2025-04-01,,398.0,398.0,305.2942773638716,317.29167022452145
0725765883117,2025-05-01,,256.0,256.0,288.04975571644474,280.7602508959664
0725765883117,2025-06-01,,168.0,168.0,285.9684507159275,258.1210614529183
0725765883117,2025-07-01,,316.0,316.0,304.69912367198526,296.1960618798629
0725765883117,2025-08-01,,285.0,285.0,302.7301142324545,288.2208928715164
0725765883117,2025-09-01,,587.0,587.0,330.19090366730507,365.9144748237954
4800067551165,2022-06-01,55.0,,,,
4800067551165,2022-07-01,30.0,,,,
4800067551165,2022-08-01,9.0,,,,
4800067551165,2022-09-01,113.0,,,,
4800067551165,2022-10-01,0.0,,,,
4800067551165,2022-11-01,0.0,,,,
4800067551165,2022-12-01,18.0,,,,
4800067551165,2023-01-01,14.0,,,,
4800067551165,2023-02-01,3.0,,,,
4800067551165,2023-03-01,129.0,,,,
4800067551165,2023-04-01,6.0,,,,
4800067551165,2023-05-01,5.0,,,,
4800067551165,2023-06-01,0.0,,,,
4800067551165,2023-07-01,49.0,,,,
4800067551165,2023-08-01,105.0,,,,
4800067551165,2023-09-01,46.0,,,,
4800067551165,2023-10-01,17.0,,,,
4800067551165,2023-11-01,42.0,,,,
4800067551165,2023-12-01,170.0,,,,
4800067551165,2024-01-01,173.0,,,,
4800067551165,2024-02-01,3.0,,,,
4800067551165,2024-03-01,110.0,,,,
4800067551165,2024-04-01,156.0,,,,
4800067551165,2024-05-01,38.0,,,,
4800067551165,2024-06-01,245.0,,,,
4800067551165,2024-07-01,71.0,,,,
4800067551165,2024-08-01,110.0,,,,
4800067551165,2024-09-01,9.0,,,,
4800067551165,2024-10-01,24.0,,,,
4800067551165,2024-11-01,8.0,,,,
4800067551165,2024-12-01,23.0,,,,
4800067551165,2025-01-01,228.0,,,,
4800067551165,2025-02-01,169.0,,,,
4800067551165,2025-03-01,110.0,,,,
4800234406465,2022-05-01,75.0,,,,
4800234406465,2022-06-01,9.0,,,,
4800234406465,2022-07-01,47.0,,,,
4800234406465,2022-08-01,52.0,,,,
4800234406465,2022-09-01,50.0,,,,
4800234406465,2022-10-01,76.0,,,,
4800234406465,2022-11-01,67.0,,,,
4800234406465,2022-12-01,172.0,,,,
4800234406465,2023-01-01,119.0,,,,
4800234406465,2023-02-01,160.0,,,,
4800234406465,2023-03-01,87.0,,,,
4800234406465,2023-04-01,137.0,,,,
4800234406465,2023-05-01,79.0,,,,
4800234406465,2023-06-01,88.0,,,,
4800234406465,2023-07-01,45.0,,,,
4800234406465,2023-08-01,138.0,,,,
4800234406465,2023-09-01,75.0,,,,
4800234406465,2023-10-01,66.0,,,,
4800234406465,2023-11-01,77.0,,,,
4800234406465,2023-12-01,59.0,,,,
4800234406465,2024-01-01,157.0,,,,
4800234406465,2024-02-01,88.0,,,,
4800234406465,2024-03-01,106.0,,,,
4800234406465,2024-04-01,245.0,,,,
4800234406465,2024-05-01,186.0,,,,
4800234406465,2024-06-01,33.0,,,,
4800234406465,2024-07-01,133.0,,,,
4800234406465,2024-08-01,110.0,,,,
4800234406465,2024-09-01,26.0,,,,
4800234406465,2024-10-01,139.0,,,,
4800234406465,2024-11-01,94.0,,,,
4800234406465,2024-12-01,29.0,,,,
4800234406465,2025-01-01,14.0,,,,
4800234406465,2025-02-01,0.0,,,,
4800234406465,2025-03-01,38.0,,,,
4800308991491,2022-05-01,23.0,,,,
4800308991491,2022-06-01,38.0,,,,
4800308991491,2022-07-01,63.0,,,,
4800308991491,2022-08-01,84.0,,,,
4800308991491,2022-09-01,64.0,,,,
4800308991491,2022-10-01,28.0,,,,
4800308991491,2022-11-01,20.0,,,,
4800308991491,2022-12-01,43.0,,,,
4800308991491,2023-01-01,106.0,,,,
4800308991491,2023-02-01,65.0,,,,
4800308991491,2023-03-01,38.0,,,,
4800308991491,2023-04-01,55.0,,,,
4800308991491,2023-05-01,23.0,,,,
4800308991491,2023-06-01,115.0,,,,
4800308991491,2023-07-01,80.0,,,,
4800308991491,2023-08-01,43.0,,,,
4800308991491,2023-09-01,71.0,,,,
4800308991491,2023-10-01,124.0,,,,
4800308991491,2023-11-01,174.0,,,,
4800308991491,2023-12-01,198.0,,,,
4800308991491,2024-01-01,46.0,,,,
4800308991491,2024-02-01,0.0,,,,
4800308991491,2024-03-01,87.0,,,,
4800308991491,2024-04-01,13.0,,,,
4800308991491,2024-05-01,0.0,,,,
4800308991491,2024-06-01,58.0,,,,
4800308991491,2024-07-01,87.0,,,,
4800308991491,2024-08-01,135.0,,,,
4800308991491,2024-09-01,63.0,,,,
4800308991491,2024-10-01,90.0,,,,
4800308991491,2024-11-01,3.0,,,,
4800308991491,2024-12-01,39.0,,,,
4800308991491,2025-01-01,59.0,,,,
4800308991491,2025-02-01,88.0,,,,
4800308991491,2025-03-01,92.0,,,,
4800369000545,2022-05-01,115.0,,,,
4800369000545,2022-06-01,80.0,,,,
4800369000545,2022-07-01,130.0,,,,
4800369000545,2022-08-01,50.0,,,,
4800369000545,2022-09-01,135.0,,,,
4800369000545,2022-10-01,63.0,,,,
4800369000545,2022-11-01,150.0,,,,
4800369000545,2022-12-01,130.0,,,,
4800369000545,2023-01-01,91.0,,,,
4800369000545,2023-02-01,50.0,,,,
4800369000545,2023-03-01,135.0,,,,
