sku,months,nz_months,avg_qty,med_qty,last12_qty,coverage,zero_share,trend_slope,demand_class
0725765883117,17,17,399.05882352941177,358.0,4388.0,1.0,0.0,-7.3995098039215685,High-volume
4800067551165,34,31,67.29411764705883,40.0,1191.0,0.9117647058823529,0.08823529411764706,2.8739495798319328,High-volume
4800234406465,35,34,87.88571428571429,77.0,1047.0,0.9714285714285714,0.02857142857142857,-0.15882352941176472,High-volume
4800308991491,35,33,66.14285714285714,63.0,727.0,0.9428571428571428,0.05714285714285714,0.5750700280112044,High-volume
4800369000545,35,35,128.82857142857142,115.0,767.0,1.0,0.0,-1.907843137254902,High-volume
4800369000675,33,32,66.54545454545455,67.0,926.0,0.9696969696969697,0.030303030303030304,1.3526069518716577,High-volume
4801010194002,35,34,61.371428571428574,56.0,732.0,0.9714285714285714,0.02857142857142857,-1.3560224089635855,High-volume
4806033302731,35,31,75.97142857142858,53.0,409.0,0.8857142857142857,0.11428571428571428,-1.1638655462184875,High-volume
4806033304131,35,35,69.28571428571429,65.0,952.0,1.0,0.0,0.9823529411764705,High-volume
4806501130125,35,33,62.285714285714285,60.0,449.0,0.9428571428571428,0.05714285714285714,-2.4815126050420173,High-volume
4806502850008,35,35,107.25714285714285,98.0,950.0,1.0,0.0,-0.5134453781512605,High-volume
4806504260614,25,25,307.0,308.0,3832.0,1.0,0.0,2.0584615384615383,High-volume
4806504653164,33,27,101.75757575757575,74.0,255.0,0.8181818181818182,0.18181818181818182,-7.738302139037434,High-volume
4806504653348,29,29,116.58620689655173,106.0,1150.0,1.0,0.0,-2.0620689655172413,High-volume
4806521160294,35,31,59.94285714285714,32.0,1025.0,0.8857142857142857,0.11428571428571428,3.6098039215686275,High-volume
4806523301312,35,29,89.25714285714285,42.0,279.0,0.8285714285714286,0.17142857142857143,-4.916806722689075,High-volume
4806524143348,32,28,74.4375,60.0,1431.0,0.875,0.125,3.026759530791789,High-volume
4806524147254,9,9,256.44444444444446,165.0,2308.0,1.0,0.0,-14.7,High-volume
4806524772906,15,14,222.6,234.0,2619.0,0.9333333333333333,0.06666666666666667,-4.960714285714285,High-volume
4806524781854,17,13,286.3529411764706,256.0,3570.0,0.7647058823529411,0.23529411764705882,9.482843137254902,High-volume
4806527192022,12,6,170.91666666666666,0.5,2051.0,0.5,0.5,-69.8216783216783,High-volume
4806527194088,14,13,198.64285714285714,231.5,2308.0,0.9285714285714286,0.07142857142857142,-20.65714285714286,High-volume
4806527201342,4,2,757.5,15.0,3030.0,0.5,0.5,891.0,High-volume
4806533602355,16,15,242.75,217.5,3119.0,0.9375,0.0625,-2.65,High-volume
4806533602362,10,10,226.1,229.0,2261.0,1.0,0.0,-8.018181818181818,High-volume
4806533602379,15,15,780.6,805.0,10023.0,1.0,0.0,-2.932142857142857,High-volume
4806534570240,14,14,182.28571428571428,188.5,2200.0,1.0,0.0,-2.668131868131868,High-volume
4807788048462,35,35,67.28571428571429,61.0,929.0,1.0,0.0,1.3574229691876751,High-volume
4807788402646,33,30,68.78787878787878,62.0,626.0,0.9090909090909091,0.09090909090909091,-1.0213903743315509,High-volume
4807788526762,35,35,126.94285714285714,130.0,958.0,1.0,0.0,-2.161344537815126,High-volume
480778853619,35,32,59.91428571428571,56.0,305.0,0.9142857142857143,0.08571428571428572,-2.0633053221288518,High-volume
4807788559593,34,33,82.61764705882354,67.0,421.0,0.9705882352941176,0.029411764705882353,-4.377845683728037,High-volume
4807788560438,35,33,66.88571428571429,64.0,753.0,0.9428571428571428,0.05714285714285714,0.22577030812324933,High-volume
4807788561688,35,35,487.0,510.0,5013.0,1.0,0.0,-3.3756302521008403,High-volume
4807788562593,35,35,177.42857142857142,157.0,1742.0,1.0,0.0,-1.557983193277311,High-volume
4807788562630,35,35,81.57142857142857,79.0,1023.0,1.0,0.0,1.3647058823529412,High-volume
4809013625080,35,34,103.51428571428572,107.0,1509.0,0.9714285714285714,0.02857142857142857,0.7285714285714285,High-volume
4809015142035,30,26,141.13333333333333,139.0,1422.0,0.8666666666666667,0.13333333333333333,0.11879866518353807,High-volume
54021235,6,6,471.6666666666667,429.0,2830.0,1.0,0.0,19.37142857142857,High-volume
69853920,13,13,208.46153846153845,155.0,2525.0,1.0,0.0,-1.2417582417582418,High-volume
8902269016674,31,23,76.54838709677419,58.0,306.0,0.7419354838709677,0.25806451612903225,-5.038306451612903,High-volume
8904159620923,31,31,83.54838709677419,72.0,1204.0,1.0,0.0,1.8008064516129032,High-volume
8904179014702,10,10,723.4,683.5,7234.0,1.0,0.0,-60.8,High-volume
8904179017819,6,6,370.3333333333333,236.0,2222.0,1.0,0.0,-46.22857142857143,High-volume
8904184004972,35,29,60.885714285714286,50.0,290.0,0.8285714285714286,0.17142857142857143,-3.9694677871148456,High-volume
8904186000521,25,25,169.8,158.0,2559.0,1.0,0.0,4.37076923076923,High-volume
8944164010272,26,22,121.07692307692308,134.0,1811.0,0.8461538461538461,0.15384615384615385,2.5333333333333337,High-volume
8944164510321,7,7,345.7142857142857,343.0,2420.0,1.0,0.0,-50.607142857142854,High-volume
8961100510023,35,19,62.82857142857143,9.0,444.0,0.5428571428571428,0.45714285714285713,-4.259663865546219,High-volume
8994388106237,35,33,90.45714285714286,98.0,996.0,0.9428571428571428,0.05714285714285714,1.02296918767507,High-volume
