sku,month,seasonal_index
0725765883117,1,1.3381485849056602
0725765883117,2,0.9171580188679245
0725765883117,3,0.6653154481132075
0725765883117,4,0.9973466981132075
0725765883117,5,0.6415094339622641
0725765883117,6,0.4209905660377358
0725765883117,7,0.7918632075471698
0725765883117,8,0.7141804245283019
0725765883117,9,1.4709610849056605
0725765883117,10,1.538620283018868
0725765883117,11,0.7755748820754718
0725765883117,12,1.516067216981132
4800067551165,1,2.0556526806526807
4800067551165,2,0.8668414918414918
4800067551165,3,1.7287296037296036
4800067551165,4,1.2036713286713285
4800067551165,5,0.319493006993007
4800067551165,6,1.4860139860139858
4800067551165,7,0.743006993006993
4800067551165,8,1.1095571095571095
4800067551165,9,0.8321678321678321
4800067551165,10,0.20308857808857805
4800067551165,11,0.24766899766899764
4800067551165,12,1.04516317016317
4800234406465,1,1.099913307325531
4800234406465,2,0.94061551798873
4800234406465,3,0.8761378413524056
4800234406465,4,2.1732769830949286
4800234406465,5,1.2895535327264847
4800234406465,6,0.4930645860424794
4800234406465,7,0.8533810143042914
4800234406465,8,1.1378413524057216
4800234406465,9,0.5727134807108799
4800234406465,10,1.0657780667533594
4800234406465,11,0.9026874729085392
4800234406465,12,0.9861291720849588
4800308991491,1,1.0633549316054716
4800308991491,2,0.7710583153347733
4800308991491,3,1.093592512598992
4800308991491,4,0.5140388768898488
4800308991491,5,0.23182145428365733
4800308991491,6,1.0633549316054716
4800308991491,7,1.1591072714182866
4800308991491,8,1.320374370050396
4800308991491,9,0.9978401727861771
4800308991491,10,1.2195824334053276
4800308991491,11,0.9928005759539237
4800308991491,12,1.4110871130309575
4800369000545,1,1.1255267243291196
4800369000545,2,0.3311894729060398
4800369000545,3,1.1255267243291196
4800369000545,4,0.8616101131071192
4800369000545,5,0.8434981888075702
4800369000545,6,1.2186737635839433
4800369000545,7,1.0272048495601391
4800369000545,8,1.3014711318104533
4800369000545,9,1.0841280402158646
4800369000545,10,1.3040585495675316
4800369000545,11,0.8667849486212761
4800369000545,12,0.8641975308641977
4800369000675,1,0.6662112932604736
4800369000675,2,1.2773224043715847
4800369000675,3,1.197176684881603
4800369000675,4,1.4200819672131146
4800369000675,5,2.028688524590164
4800369000675,6,0.5109289617486339
4800369000675,7,0.36566484517304193
4800369000675,8,0.540983606557377
4800369000675,9,1.3674863387978142
4800369000675,10,0.7062841530054645
4800369000675,11,1.046903460837887
4800369000675,12,1.192167577413479
4801010194002,1,0.7603972687771571
4801010194002,2,0.35304158907510863
4801010194002,3,1.0808504034761017
4801010194002,4,2.313780260707635
4801010194002,5,1.4393234016139045
4801010194002,6,0.8744568590937306
4801010194002,7,0.9070453134698945
4801010194002,8,1.2003414028553692
4801010194002,9,1.042830540037244
4801010194002,10,0.9233395406579764
4801010194002,11,0.8255741775294846
4801010194002,12,0.7169459962756052
4806033302731,1,1.2022063432368058
4806033302731,2,0.9433370941456687
4806033302731,3,0.8073210480130374
4806033302731,4,0.3619781872884543
4806033302731,5,0.5352889557477748
4806033302731,6,0.7853829760561615
4806033302731,7,0.8731352638836656
4806033302731,8,0.5309013413563997
4806033302731,9,1.2855710166729346
4806033302731,10,2.321048013037483
4806033302731,11,1.373323304500439
4806033302731,12,0.7678325184906606
4806033304131,1,0.9621993127147764
4806033304131,2,0.702405498281787
4806033304131,3,1.5154639175257731
4806033304131,4,1.0319587628865978
4806033304131,5,0.8659793814432989
4806033304131,6,1.318213058419244
4806033304131,7,0.8756013745704467
4806033304131,8,0.7649484536082474
4806033304131,9,0.6398625429553264
4806033304131,10,0.9718213058419242
4806033304131,11,1.3037800687285221
4806033304131,12,1.0584192439862543
4806501130125,1,0.7599388379204893
4806501130125,2,0.2515290519877676
4806501130125,3,0.7866972477064219
4806501130125,4,0.5217889908256881
4806501130125,5,1.279051987767584
4806501130125,6,1.0382262996941896
4806501130125,7,1.081039755351682
4806501130125,8,0.8562691131498471
4806501130125,9,1.6536697247706422
4806501130125,10,0.7492354740061162
4806501130125,11,1.487767584097859
4806501130125,12,1.3753822629969419
4806502850008,1,1.1156988101580536
4806502850008,2,0.6743917599005506
4806502850008,3,0.811134789557805
4806502850008,4,0.5594033031433139
4806502850008,5,0.6930385366719944
4806502850008,6,0.3853667199431718
4806502850008,7,0.7396554786006039
4806502850008,8,0.811134789557805
4806502850008,9,2.663381282187889
4806502850008,10,1.000710353400817
4806502850008,11,0.9913869650150952
4806502850008,12,1.4078316462440064
4806504260614,1,1.3501628664495113
4806504260614,2,0.996742671009772
4806504260614,3,0.991313789359392
4806504260614,4,1.2833876221498373
4806504260614,5,1.1221498371335505
4806504260614,6,0.996742671009772
4806504260614,7,0.6188925081433225
4806504260614,8,1.0667752442996743
4806504260614,9,0.6612377850162867
4806504260614,10,0.8811074918566775
4806504260614,11,0.8403908794788273
4806504260614,12,1.1954397394136809
4806504653164,1,0.4815366289458011
4806504653164,2,0.7960095294818345
4806504653164,3,0.4422275163787969
4806504653164,4,0.32921381774865993
4806504653164,5,0.9827278141751044
4806504653164,6,1.13013698630137
4806504653164,7,1.9064919594997025
4806504653164,8,1.552709946396665
4806504653164,9,0.9499702203692674
4806504653164,10,1.2153067301965457
4806504653164,11,0.7337701012507445
4806504653164,12,1.0023823704586063
4806504653348,1,0.6175687666370896
4806504653348,2,1.072167997633836
4806504653348,3,0.8448683821354629
4806504653348,4,0.7162082224194025
4806504653348,5,1.3323474317263135
4806504653348,6,0.9835354431627722
4806504653348,7,1.2008281573498965
4806504653348,8,1.323770087745243
4806504653348,9,0.6747510598442275
4806504653348,10,0.9392191659272404
4806504653348,11,0.8491570541259982
4806504653348,12,1.1879621413782904
4806521160294,1,0.7006673021925643
4806521160294,2,1.696059739434382
4806521160294,3,2.5301874801398156
4806521160294,4,1.0760247855100096
4806521160294,5,0.4893549412138545
4806521160294,6,0.5227200508420718
4806521160294,7,0.32252939307276773
4806521160294,8,0.9509056244041946
4806521160294,9,0.617254528122021
4806521160294,10,1.3735303463616144
4806521160294,11,1.2289482046393392
4806521160294,12,0.5171591992373689
4806523301312,1,1.1427656850192063
4806523301312,2,1.0680751173708922
4806523301312,3,0.36224925309432354
