model,MAE,MSE,RMSE,MAPE,MASE,WAPE,MPE
Holt-Winters,106.8728227120408,19691.55312542426,124.71167556560381,2574.421686313411,0.43698290720646044,166.08679431009782,2490.91233553445
ETS,118.2584563735509,23684.19251928037,147.65327078258326,3232.052528955518,0.4819978518441201,299.1021613731149,3279.1524865928877
SARIMA,215.68048449332667,190445.25035763334,284.7472502895416,2366.6954648004385,0.8788036174608415,354.0092326499408,2350.1691811551004
Seasonal-Naive,229.28220384392498,63502.62830324392,251.39508673540814,7323.309671932239,0.9310773436841376,797.3197797748654,7163.160679590129
