customer_group,qty,sales,profit,discount,avg_discount_pct,profit_margin
Regular,13784.0,355537.5,80900.31,0.0,0.0,22.75436768273389
Senior/PWD,4640.0,129741.98,19127.09,0.00637689082017516,4.91505588258724e-06,14.742406428512961
