month,category,total_sales,total_qty
2022-08,GALENICALS AND SOLUTIONS,4001.72,85.0
2022-08,GIT,11161.06,656.0
2022-08,GUT AND HORMONES,24210.49,756.0
2022-08,HAIR CARE,694.3499999999999,18.0
2022-08,HOME REMEDY,3996.1,56.0
2022-08,HOUSEHOLD CHEMICALS,547.65,2.0
2022-08,MEMBERS EXCLUSIVE,10.5,1.0
2022-08,NEEDLES AND TUBINGS,602.13,32.0
2022-08,NEUROLOGICAL DRUGS,1284.24,44.0
2022-08,ORAL CARE,2395.26,23.0
2022-08,ORTHO SUPPORT,4795.0,3.0
2022-08,PAIN MANAGEMENT,33478.43,2427.0
2022-08,PEDIATRIC MILK,259.5,2.0
2022-08,PERSONAL PROTECTIVE EQUIPMENT,1357.12,4.0
2022-08,"PLASTIC, GLASSWARE, AND STAINLESS",623.5,18.0
2022-08,PROMO PACKS,2033.63,28.0
2022-08,RESPIRATORY,26286.77,1901.0
2022-08,SKIN AND BODY,7457.65,151.0
2022-08,SPECIAL CATEGORY 1,854.9,66.0
2022-08,VITAMINS,44678.06,2848.0
2022-08,WOUND CARE,2804.46,437.0
2022-09,ADULT MILK,9658.32,65.0
2022-09,ANTIBIOTICS,42298.1,1653.0
2022-09,ANTIDIABETICS,10278.03,1086.0
2022-09,ASSISTIVE DEVICE,37801.47,19.0
2022-09,BEVERAGES,3913.0,160.0
2022-09,CARDIOVASCULAR,45005.73,4680.0
2022-09,COLD CHAIN,605.0,3.0
2022-09,COTTONS AND HYGIENE,7314.55,129.0
2022-09,DERMATOLOGICALS,5028.28,46.0
2022-09,DIAGNOSTIC,575.4,43.0
2022-09,DIAPERS,12400.6,69.0
2022-09,DISINFECTANT,8342.1,57.0
2022-09,DISPOSABLES,8288.43,192.0
2022-09,EENT,4149.98,24.0
2022-09,ELECTRONIC MEDICAL DEVICES,17058.07,20.0
2022-09,FOOD,435.0,1.0
2022-09,FOOD SUPPLEMENTS,6395.1,294.0
2022-09,GALENICALS AND SOLUTIONS,3723.4,67.0
2022-09,GIT,17481.44,853.0
2022-09,GUT AND HORMONES,18462.4,524.0
2022-09,HAIR CARE,712.0,9.0
2022-09,HOME REMEDY,3617.85,58.0
2022-09,HOUSEHOLD CHEMICALS,1230.0,3.0
2022-09,MEMBERS EXCLUSIVE,147.0,14.0
2022-09,NEEDLES AND TUBINGS,1492.31,52.0
2022-09,NEUROLOGICAL DRUGS,3996.69,116.0
2022-09,ORAL CARE,5960.51,51.0
2022-09,ORTHO SUPPORT,3400.2,8.0
2022-09,PAIN MANAGEMENT,44241.22,2767.0
2022-09,PARENTERALS,340.0,4.0
2022-09,PERSONAL PROTECTIVE EQUIPMENT,1649.12,7.0
2022-09,"PLASTIC, GLASSWARE, AND STAINLESS",716.9,13.0
2022-09,PROMO PACKS,1321.75,47.0
2022-09,RESPIRATORY,41959.05,2345.0
2022-09,SKIN AND BODY,8386.55,150.0
2022-09,SPECIAL CATEGORY 1,547.5,48.0
2022-09,VITAMINS,52045.19,3449.0
2022-09,WOUND CARE,1554.6,259.0
2022-10,ADULT MILK,1660.01,22.0
2022-10,ANTIBIOTICS,38021.25,1580.0
2022-10,ANTIDIABETICS,9310.16,719.0
2022-10,ASSISTIVE DEVICE,20361.14,7.0
2022-10,BEVERAGES,5362.0,175.0
2022-10,CARDIOVASCULAR,57776.42,4347.0
2022-10,COTTONS AND HYGIENE,6992.3,156.0
2022-10,DERMATOLOGICALS,5430.34,54.0
2022-10,DIAGNOSTIC,1710.0,20.0
2022-10,DIAPERS,9155.39,75.0
2022-10,DISINFECTANT,9279.3,62.0
2022-10,DISPOSABLES,6664.2,151.0
2022-10,EENT,3173.56,17.0
2022-10,ELECTRONIC MEDICAL DEVICES,15006.5,16.0
2022-10,FOOD,1278.5,4.0
2022-10,FOOD SUPPLEMENTS,7410.75,344.0
2022-10,GALENICALS AND SOLUTIONS,5171.1,99.0
2022-10,GIT,15431.81,688.0
2022-10,GUT AND HORMONES,19320.63,394.0
2022-10,HAIR CARE,1280.3,18.0
2022-10,HOME REMEDY,5227.55,82.0
2022-10,HOUSEHOLD CHEMICALS,137.65,1.0
2022-10,MANUAL MEDICAL DEVICES,7028.5599999999995,4.0
2022-10,NEEDLES AND TUBINGS,757.55,35.0
2022-10,NEUROLOGICAL DRUGS,1886.5,70.0
2022-10,ORAL CARE,5316.25,49.0
2022-10,ORTHO SUPPORT,8510.0,19.0
2022-10,PAIN MANAGEMENT,40245.4,2639.0
2022-10,PEDIATRIC MILK,34.25,1.0
2022-10,PERSONAL PROTECTIVE EQUIPMENT,1087.28,36.0
2022-10,"PLASTIC, GLASSWARE, AND STAINLESS",552.5,20.0
2022-10,PROMO PACKS,1543.0,25.0
2022-10,RESPIRATORY,41831.91,2359.0
2022-10,SKIN AND BODY,11551.61,190.0
2022-10,SPECIAL CATEGORY 1,335.44,82.0
2022-10,VITAMINS,51189.27,3543.0
2022-10,WOUND CARE,1946.6599999999999,225.0
2022-11,ADULT MILK,3289.43,47.0
2022-11,ANTIBIOTICS,39218.35,1989.0
2022-11,ANTIDIABETICS,9800.31,681.0
2022-11,ASSISTIVE DEVICE,40550.57,18.0
2022-11,BEVERAGES,5709.5,177.0
2022-11,CARDIOVASCULAR,37599.77,4064.0
2022-11,COTTONS AND HYGIENE,9402.0,201.0
2022-11,DERMATOLOGICALS,4613.91,46.0
2022-11,DIAGNOSTIC,1636.0,20.0
