anchor,complement,lift,confidence_pct,support_pct,pair_tx
ALGESIA (PARACETAMOL + TRAMADOL) 37.5/325 MG TAB,NEBIL 5MG (NEBIVOLOL) TAB,24.376940133037692,27.27,0.05,6
CLOVIXA (CLOPIDOGREL BISULFATE) 75MG TAB,ESSELOGUE (KETOANALOGUES+ESSENTIAL AMINO ACID,114.52083333333333,25.0,0.07,8
ESSELOGUE (KETOANALOGUES+ESSENTIAL AMINO ACID,CLOVIXA (CLOPIDOGREL BISULFATE) 75MG TAB,114.52083333333333,33.33,0.07,8
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,VITAPLEX-B (VITAMIN B-COMPLEX) 300MG/100MG/100MCG CAP,111.93890909090908,25.45,0.13,14
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,AURORA (ROSUVASTATIN) 20MG FC TAB,90.85950413223141,18.18,0.09,10
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,NEBIL 5MG (NEBIVOLOL) TAB,40.62823355506283,45.45,0.23,25
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,35.36531468531468,41.82,0.21,23
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,SAPHLOPID (CLOPIDOGREL) 75MG TAB,29.075041322314053,29.09,0.15,16
KARVIDOL (CARVEDILOL) 25MG TAB,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,109.94,22.0,0.1,11
KARVIDOL (CARVEDILOL) 25MG TAB,HAIROS (SPIRONOLACTONE) 25MG TAB,99.94545454545454,20.0,0.09,10
KARVIDOL (CARVEDILOL) 25MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,90.30785714285713,46.0,0.21,23
KARVIDOL (CARVEDILOL) 25MG TAB,SAPHRIN (ASPIRIN) 80MG TAB,53.62926829268292,20.0,0.09,10
KARVIDOL (CARVEDILOL) 25MG TAB,CALIPTROL (ATORVASTATIN) 40MG,46.964660194174755,44.0,0.2,22
BONAMINE (MECLYCINE HYDROCLHORIDE) CHEW (ADULT) 25MG TAB,BONAMINE (MECLYCINE HYDROCLHORIDE) CHEW (KIDS) 12.5MG TAB,104.7047619047619,20.0,0.09,10
BONAMINE (MECLYCINE HYDROCLHORIDE) CHEW (KIDS) 12.5MG TAB,BONAMINE (MECLYCINE HYDROCLHORIDE) CHEW (ADULT) 25MG TAB,104.7047619047619,47.62,0.09,10
GIRAN-8 (CANDESARTAN) 8MG TAB,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,98.16071428571429,19.64,0.1,11
GIRAN-8 (CANDESARTAN) 8MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,90.30785714285713,41.07,0.21,23
GIRAN-8 (CANDESARTAN) 8MG TAB,HAIROS (SPIRONOLACTONE) 25MG TAB,89.23701298701299,17.86,0.09,10
GIRAN-8 (CANDESARTAN) 8MG TAB,SAPHRIN (ASPIRIN) 80MG TAB,47.883275261324044,17.86,0.09,10
GIRAN-8 (CANDESARTAN) 8MG TAB,CALIPTROL (ATORVASTATIN) 40MG,45.744798890429955,42.86,0.22,24
DUO-GESIC (PARACETAMOL/TRAMADOL) 325MG/37.5MG TAB,GRABALIN (PREGABALIN) 75MG CAP,96.43859649122807,31.58,0.05,6
GRABALIN (PREGABALIN) 75MG CAP,DUO-GESIC (PARACETAMOL/TRAMADOL) 325MG/37.5MG TAB,96.43859649122807,16.67,0.05,6
RM AMLODIPINE 5MG,RM CLOPIDOGREL 75MG TAB,93.96581196581198,22.22,0.15,16
RM AMLODIPINE 5MG,RM ATORVASTATIN 10MG TAB,62.03211805555555,18.06,0.12,13
RM CLOPIDOGREL 75MG TAB,RM AMLODIPINE 5MG,93.96581196581198,61.54,0.15,16
CARESS ADULT DIAPER XL10,CARESS UNDERPADS XL8,92.97251585623678,36.36,0.22,24
CARESS ADULT DIAPER XL10,LE MINERALE 1.5ML,10.708441558441558,13.64,0.08,9
CARESS UNDERPADS XL8,CARESS ADULT DIAPER XL10,92.97251585623678,55.81,0.22,24
CARESS UNDERPADS XL8,LE MINERALE 1.5ML,16.436212624584716,20.93,0.08,9
AK LOG TAB,AMVASC BE (AMLODIPINE) 5MG TAB,82.51190476190479,63.04,0.26,29
AK LOG TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,18.384615384615383,21.74,0.09,10
AMVASC BE (AMLODIPINE) 5MG TAB,AK LOG TAB,82.51190476190479,34.52,0.26,29
AMVASC BE (AMLODIPINE) 5MG TAB,EUTHYROX (LEVOTHYROXINE) 50MCG TAB,41.77051671732522,17.86,0.14,15
CALIPTROL (ATORVASTATIN) 40MG,HAIROS (SPIRONOLACTONE) 25MG TAB,82.47925860547218,16.5,0.15,17
CALIPTROL (ATORVASTATIN) 40MG,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,67.92409532215356,13.59,0.13,14
CALIPTROL (ATORVASTATIN) 40MG,CLOHEAL (CLOPIDOGREL) 75MG TAB,55.592637540453076,24.27,0.23,25
CALIPTROL (ATORVASTATIN) 40MG,KARVIDOL (CARVEDILOL) 25MG TAB,46.964660194174755,21.36,0.2,22
CALIPTROL (ATORVASTATIN) 40MG,GIRAN-8 (CANDESARTAN) 8MG TAB,45.744798890429955,23.3,0.22,24
SAPHLOPID (CLOPIDOGREL) 75MG TAB,VITAPLEX-B (VITAMIN B-COMPLEX) 300MG/100MG/100MCG CAP,71.96072727272727,16.36,0.16,18
SAPHLOPID (CLOPIDOGREL) 75MG TAB,AURORA (ROSUVASTATIN) 20MG FC TAB,49.972727272727276,10.0,0.1,11
SAPHLOPID (CLOPIDOGREL) 75MG TAB,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,40.88677685950413,8.18,0.08,9
SAPHLOPID (CLOPIDOGREL) 75MG TAB,HAIROS (SPIRONOLACTONE) 25MG TAB,40.88677685950413,8.18,0.08,9
SAPHLOPID (CLOPIDOGREL) 75MG TAB,NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,29.075041322314053,14.55,0.15,16
CARVIDA (CARVEDILOL) 6.25MG TAB,ISOPTIN (VERAPAMIL) 40MG TAB,71.3896103896104,10.39,0.07,8
CARVIDA (CARVEDILOL) 6.25MG TAB,FUSEDEX (FUROSEMIDE) 40MG TAB,40.078377762588296,20.78,0.15,16
CARVIDA (CARVEDILOL) 6.25MG TAB,CORVELAM 800MG (SEVELAMER CARBONATE) TAB,17.133506493506495,7.79,0.05,6
ISOPTIN (VERAPAMIL) 40MG TAB,CARVIDA (CARVEDILOL) 6.25MG TAB,71.3896103896104,50.0,0.07,8
ACETYPHIL (ACETYLCYSTEINE) 600MG SACHET,AZITHROM (AZITHROMYCIN) 500MG TAB,68.28571428571429,17.39,0.07,8
AZITHROM (AZITHROMYCIN) 500MG TAB,ACETYPHIL (ACETYLCYSTEINE) 600MG SACHET,68.28571428571429,28.57,0.07,8
NEBIL 5MG (NEBIVOLOL) TAB,VITAPLEX-B (VITAMIN B-COMPLEX) 300MG/100MG/100MCG CAP,64.35512195121952,14.63,0.16,18
NEBIL 5MG (NEBIVOLOL) TAB,AURORA (ROSUVASTATIN) 20MG FC TAB,44.69105691056911,8.94,0.1,11
NEBIL 5MG (NEBIVOLOL) TAB,NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,40.62823355506283,20.33,0.23,25
NEBIL 5MG (NEBIVOLOL) TAB,ALGESIA (PARACETAMOL + TRAMADOL) 37.5/325 MG TAB,24.376940133037692,4.88,0.05,6
NEBIL 5MG (NEBIVOLOL) TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,21.314196372732958,25.2,0.28,31
RM ATORVASTATIN 10MG TAB,RM AMLODIPINE 5MG,62.03211805555555,40.62,0.12,13
AMLOSAPH (AMLODIPINE) 10MG TAB,CARDIPRES (CARVEDILOL) 12.5MG FC TAB,61.59103641456582,28.57,0.09,10
CARDIPRES (CARVEDILOL) 12.5MG FC TAB,AMLOSAPH (AMLODIPINE) 10MG TAB,61.59103641456582,19.61,0.09,10
ESSENTIALE FORTE CAP,SPIRODEN (SPIRONOLACTONE) 25MG TAB,61.19109461966605,42.86,0.08,9
SPIRODEN (SPIRONOLACTONE) 25MG TAB,ESSENTIALE FORTE CAP,61.19109461966605,11.69,0.08,9
SPIRODEN (SPIRONOLACTONE) 25MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,35.6948051948052,18.18,0.13,14
SPIRODEN (SPIRONOLACTONE) 25MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,34.26701298701299,15.58,0.11,12
SPIRODEN (SPIRONOLACTONE) 25MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,26.771103896103895,11.69,0.08,9
SPIRODEN (SPIRONOLACTONE) 25MG TAB,CALIPTROL (ATORVASTATIN) 40MG,20.793090404740887,19.48,0.14,15
GAUZE PAD 4X4 TRUCARE,MICROPORE 1 INCH,58.323607427055705,30.77,0.07,8
MICROPORE 1 INCH,GAUZE PAD 4X4 TRUCARE,58.323607427055705,13.79,0.07,8
CLOHEAL (CLOPIDOGREL) 75MG TAB,CALIPTROL (ATORVASTATIN) 40MG,55.592637540453076,52.08,0.23,25
CLOHEAL (CLOPIDOGREL) 75MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,40.90029761904762,20.83,0.09,10
CLOHEAL (CLOPIDOGREL) 75MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,36.64666666666666,16.67,0.07,8
CLOHEAL (CLOPIDOGREL) 75MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,26.771103896103895,18.75,0.08,9
CLOHEAL (CLOPIDOGREL) 75MG TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,23.54633956386293,22.92,0.1,11
NATRAVOX (CO-AMOXICLAV) 457MG/5ML 70ML,NATRAVOX 457MG/5ML 35ML,47.5930735930736,14.29,0.06,7
NATRAVOX (CO-AMOXICLAV) 457MG/5ML 70ML,BREZU (PROCATEROL) 5MCG/ML 60ML SYR,20.665413533834588,14.29,0.06,7
NATRAVOX 457MG/5ML 35ML,NATRAVOX (CO-AMOXICLAV) 457MG/5ML 70ML,47.5930735930736,21.21,0.06,7
AMINOLOG (KETOANALOGUES+ESSENTIAL AMINO ACIDS) FC TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,46.98290598290598,55.56,0.09,10
ATENURIX (FEBUXOSTAT) 40MG FCT,AMINOLOG (KETOANALOGUES+ESSENTIAL AMINO ACIDS) FC TAB,46.98290598290598,7.69,0.09,10
ATENURIX (FEBUXOSTAT) 40MG FCT,AURORA (ROSUVASTATIN) 20MG FC TAB,46.128671328671324,9.23,0.11,12
ATENURIX (FEBUXOSTAT) 40MG FCT,VITAPLEX-B (VITAMIN B-COMPLEX) 300MG/100MG/100MCG CAP,40.59323076923077,9.23,0.11,12
ATENURIX (FEBUXOSTAT) 40MG FCT,NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,35.36531468531468,17.69,0.21,23
ATENURIX (FEBUXOSTAT) 40MG FCT,B-PLEX (VIT B1+B6+B12) CAP,30.588870703764318,13.08,0.15,17
CENTRUM SILVER ADVANCE TAB,ROBITUSSIN L-GEL (GUAIFENESIN) 200MG CAP,45.27567829457364,17.71,0.15,17
CENTRUM SILVER ADVANCE TAB,SOLMUX (CARBOCISTEINE) 500MG CAP,9.776168699186991,7.29,0.06,7
CENTRUM SILVER ADVANCE TAB,IMMUNPRO 500MG TAB,5.368164062499999,6.25,0.05,6
ROBITUSSIN L-GEL (GUAIFENESIN) 200MG CAP,CENTRUM SILVER ADVANCE TAB,45.27567829457364,39.53,0.15,17
TRIMEBET (TRIMETAZIDINE) 35MG TAB,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,45.05737704918033,9.02,0.1,11
TRIMEBET (TRIMETAZIDINE) 35MG TAB,HAIROS (SPIRONOLACTONE) 25MG TAB,40.9612518628912,8.2,0.09,10
TRIMEBET (TRIMETAZIDINE) 35MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,30.63901639344262,13.93,0.15,17
TRIMEBET (TRIMETAZIDINE) 35MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,28.965456674473067,14.75,0.16,18
TRIMEBET (TRIMETAZIDINE) 35MG TAB,SAPHRIN (ASPIRIN) 80MG TAB,24.17712914834066,9.02,0.1,11
AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,MECID (MEFENAMIC) 500MG CAP,44.74302325581395,16.28,0.06,7
MECID (MEFENAMIC) 500MG CAP,AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,44.74302325581395,17.5,0.06,7
CEFUPLUS (CEFUROXIME AXETIL) 500MG TAB,RELEAF FORTE (BLUMEA BALSAMIFERA L. SAMBONG LEAF) 500MG,43.36883629191321,20.51,0.07,8
RELEAF FORTE (BLUMEA BALSAMIFERA L. SAMBONG LEAF) 500MG,CEFUPLUS (CEFUROXIME AXETIL) 500MG TAB,43.36883629191321,15.38,0.07,8
ALGINA (SODIUM ALGINATE) SUS,REFLUXID DUO 40MG/30MG SR CAP,42.23047375160051,8.45,0.05,6
