anchor,complement,lift,confidence_pct,support_pct,pair_tx
CALIPTROL (ATORVASTATIN) 40MG,KARVIDOL (CARVEDILOL) 25MG TAB,19.527354213888316,7.11,0.06,15
CALIPTROL (ATORVASTATIN) 40MG,GIRAN-8 (CANDESARTAN) 8MG TAB,17.640214556008672,9.0,0.08,19
CALIPTROL (ATORVASTATIN) 40MG,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,14.7731173142368,13.27,0.11,28
CLOHEAL (CLOPIDOGREL) 75MG TAB,CALIPTROL (ATORVASTATIN) 40MG,49.690884340022194,41.49,0.15,39
CLOHEAL (CLOPIDOGREL) 75MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,40.91049953746531,14.89,0.06,14
CLOHEAL (CLOPIDOGREL) 75MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,37.51261751608115,19.15,0.07,18
CLOHEAL (CLOPIDOGREL) 75MG TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,27.239338269753496,24.47,0.09,23
CLOHEAL (CLOPIDOGREL) 75MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,21.45003395201449,15.96,0.06,15
CARESS ADULT DIAPER L10+1,CARESS UNDERPADS L8,48.73505414626911,12.15,0.05,13
CARESS UNDERPADS L8,CARESS ADULT DIAPER L10+1,48.73505414626911,20.63,0.05,13
ATENURIX (FEBUXOSTAT) 40MG FCT,B-PLEX (VIT B1+B6+B12) CAP,47.501879699248114,14.29,0.1,26
ATENURIX (FEBUXOSTAT) 40MG FCT,DIABEE (VITAMIN B COMPLEX) CAP,34.40571817562968,15.38,0.11,28
ATENURIX (FEBUXOSTAT) 40MG FCT,REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,25.245754245754245,13.19,0.09,24
ATENURIX (FEBUXOSTAT) 40MG FCT,NEBIL 5MG (NEBIVOLOL) TAB,17.738756837875783,15.93,0.11,29
ATENURIX (FEBUXOSTAT) 40MG FCT,TRAJENTA (LINAGLIPTIN) 5MG TAB,10.85990545767082,7.69,0.06,14
B-PLEX (VIT B1+B6+B12) CAP,ATENURIX (FEBUXOSTAT) 40MG FCT,47.501879699248114,34.21,0.1,26
B-PLEX (VIT B1+B6+B12) CAP,REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,42.82366427432216,22.37,0.07,17
B-PLEX (VIT B1+B6+B12) CAP,TRAJENTA (LINAGLIPTIN) 5MG TAB,26.006615701264334,18.42,0.06,14
B-PLEX (VIT B1+B6+B12) CAP,NEBIL 5MG (NEBIVOLOL) TAB,24.90186645026664,22.37,0.07,17
B-PLEX (VIT B1+B6+B12) CAP,FORXIGA (DAPAGLIFLOZIN) 10MG,12.396323868882732,22.37,0.07,17
GAUZE PAD 4X4 TRUCARE,MICROPORE 1 INCH,47.07712369597615,24.59,0.06,15
MICROPORE 1 INCH,GAUZE PAD 4X4 TRUCARE,47.07712369597615,11.36,0.06,15
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,CALIPTROL (ATORVASTATIN) 40MG,47.051624915369,39.29,0.09,22
CARVIDA (CARVEDILOL) 6.25MG TAB,ISOPTIN (VERAPAMIL) 40MG TAB,44.37172071885974,8.25,0.07,17
CARVIDA (CARVEDILOL) 6.25MG TAB,FUSEDEX (FUROSEMIDE) 40MG TAB,31.226301853486316,13.59,0.11,28
ISOPTIN (VERAPAMIL) 40MG TAB,CARVIDA (CARVEDILOL) 6.25MG TAB,44.37172071885974,36.17,0.07,17
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,B-PLEX (VIT B1+B6+B12) CAP,42.82366427432216,12.88,0.07,17
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,25.245754245754245,18.18,0.09,24
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,NEBIL 5MG (NEBIVOLOL) TAB,20.2410893071686,18.18,0.09,24
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,TRAJENTA (LINAGLIPTIN) 5MG TAB,14.973506009818857,10.61,0.06,14
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,FORXIGA (DAPAGLIFLOZIN) 10MG,9.656316454013822,17.42,0.09,23
MEDIFORTAN-AS (MULTIVITAMINS + BUCLIZINE HCI ) CAP,MX3 CAP,42.59157303370787,15.0,0.06,15
MX3 CAP,MEDIFORTAN-AS (MULTIVITAMINS + BUCLIZINE HCI ) CAP,42.59157303370787,16.85,0.06,15
RM ATORVASTATIN 10MG TAB,RM AMLODIPINE 5MG,42.58172266825255,28.81,0.07,17
EUTHYROX (LEVOTHYROXINE) 50MCG TAB,AMVASC BE (AMLODIPINE) 5MG TAB,35.15965217391304,17.39,0.06,16
DIABEE (VITAMIN B COMPLEX) CAP,ATENURIX (FEBUXOSTAT) 40MG FCT,34.40571817562968,24.78,0.11,28
