model,MAE,MSE,RMSE,MAPE,MASE,WAPE,MPE
ETS,15.326198704091206,404.2868258201363,20.080908413752308,35.771610361770634,0.9229637244290023,37.054564505592744,-7.5037253715696055
Holt-Winters,15.863653927257449,349.2997492564546,18.673950280056278,40.58231092370013,0.956662581299334,38.32566336347973,13.691747628905906
SARIMA,41.28764102757207,3805.2464704157783,48.363154144978914,111.52517471228384,2.2823102911157065,101.10068200965333,75.9236888700265
