model,MAE,MSE,RMSE,MAPE,MASE,WAPE,MPE
ETS,15.326198521236714,404.2868490250878,20.080908968794567,35.7716117835764,0.9229637197273242,37.054564027180746,-7.503724669647855
Holt-Winters,15.86379478096434,349.30127228963346,18.67399104458254,40.58260401023229,0.9566721310402396,38.32601122110417,13.692063736279056
SARIMA,41.28764102757207,3805.246470415778,48.36315414497891,111.52517471228384,2.2823102911157065,101.10068200965333,75.9236888700265
