cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
-1,92,1006021.56,20385.0,66.4846038294284,6.0,18.0,0.5510925401669355,0.12499999999999994,"High-Sales, High-Volume, Premium, Rising"
0,82,21227.99,1053.0,30.25,1.0,3.0,0.0,0.0,"High-Sales, High-Volume"
1,15,18066.22,933.0,156.75,3.0,6.0,0.0,-8.214889951798643e-17,"High-Sales, High-Volume, Premium, Declining"
2,9,15275.380000000001,188.0,142.5,3.0,6.0,0.3435921354681384,0.49999999999999983,"Premium, Rising"
3,15,11920.28,191.0,64.75,1.0,6.0,0.0,0.0,Mixed
4,5,29164.28,866.0,30.85787234042553,4.0,26.857142857142858,0.5759546478241878,9.4,"High-Sales, High-Volume, Rising"
5,4,3897.4,82.0,262.4,2.0,2.0,0.16666666666666666,-0.5,"Premium, Declining"
6,5,11013.5,718.0,47.5,4.0,15.333333333333334,0.4686068431409504,1.4285714285714268,Rising
