cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,19,90853.18000000001,10085.0,93.0,15.0,5.555555555555555,0.8606885499550817,0.15479876160990705,"High-Sales, High-Volume, Premium, Rising"
"High-Sales, High-Volume, Declining",24,9801.55,404.0,46.324999999999996,4.0,2.1,0.40406101782088427,-1.3614667407115374e-16,"High-Sales, High-Volume, Declining"
"Premium, Rising",5,6895.0,24.0,272.0,4.0,1.25,0.408248290463863,0.19999999999999993,"Premium, Rising"
