cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
50,12,8421.86,1020.0,23.483999999999998,4.5,4.694444444444445,0.5,0.0,High-Volume
51,14,13585.52,1060.0,13.061392405063291,5.0,12.107142857142858,0.3890335395646724,-4.1074449758993214e-17,"High-Sales, High-Volume, Declining"
52,5,10911.5,458.0,57.421052631578945,5.0,5.2,0.6245366915609845,0.005194805194805198,"High-Sales, Premium, Rising"
53,5,8911.22,364.0,57.50322580645161,10.0,1.7222222222222223,0.5318898420610166,1.3037209016879916e-14,"Premium, Rising"
54,10,8790.7,176.0,98.75,4.0,1.7142857142857144,0.38090084052856843,-8.032676122608759e-17,"Premium, Declining"
55,5,11288.84,669.0,45.126000000000005,8.0,7.076923076923077,0.6729041536504289,-0.023809523809523787,"High-Sales, High-Volume, Premium, Declining"
56,5,20797.190000000002,633.0,115.5,15.0,1.6666666666666667,0.5064935064935064,0.005384615384615347,"High-Sales, High-Volume, Premium, Rising"
57,5,8524.25,478.0,28.416666666666668,11.0,9.6,0.5676462121975469,-0.035577449370552794,Declining
58,8,6527.12,525.0,52.55357142857143,4.5,6.458333333333333,0.43124179777312577,-0.09285714285714289,"Premium, Declining"
59,5,11924.64,1194.0,22.508867924528303,7.0,17.666666666666668,0.565685424949238,-0.05454545454545453,"High-Sales, High-Volume, Declining"
60,5,14785.3,409.0,128.51782608695652,13.0,2.6666666666666665,0.6373774391990982,-0.028571428571428543,"High-Sales, Premium, Declining"
61,5,5311.26,473.0,31.25,4.0,8.5,0.5,1.9999999999999996,Rising
62,5,4030.0,42.0,202.4,2.0,1.5,0.3535533905932738,0.9999999999999998,"Premium, Rising"
63,5,7750.34,309.0,172.0,5.0,1.6666666666666667,0.2939723678960656,-0.03571428571428577,"Premium, Declining"
64,3,4670.05,141.0,50.25967741935484,12.0,3.2413793103448274,0.5590169943749475,-0.053201970443349685,"Premium, Declining"
65,5,4279.62,225.0,171.2,4.0,1.25,0.34641016151377546,-0.09999999999999969,"Premium, Declining"
66,6,17278.34,1196.0,24.201930539932512,8.0,10.674242424242424,0.5625843835346693,0.10721925133689844,"High-Sales, High-Volume, Rising"
67,11,9113.31,569.0,41.4,4.0,3.0,0.5150787536377127,0.0,Mixed
68,6,14973.380000000001,371.0,86.39038461538462,10.5,2.5294117647058822,0.688370768278924,-0.05003085150143963,"High-Sales, Premium, Declining"
69,7,8649.04,205.0,45.81111111111112,9.0,2.2857142857142856,0.48250647664046953,-0.060606060606060684,"Premium, Declining"
70,5,6487.88,213.0,59.0,5.0,2.75,0.574959574576069,-0.2000000000000001,"Premium, Declining"
71,5,16216.75,621.0,24.5625,9.0,13.333333333333334,0.7211102550927978,-1.2666666666666664,"High-Sales, High-Volume, Declining"
72,5,5251.389999999999,168.0,38.84777777777777,1.0,3.857142857142857,0.0,0.0,Mixed
73,5,6247.360000000001,251.0,24.98,5.0,10.0,0.45508306023843204,-0.40000000000000036,Declining
74,5,7063.0,166.0,74.42105263157895,10.0,2.5,0.6,0.003571428571428582,"Premium, Rising"
75,6,4276.75,150.0,80.625,4.0,2.35,0.4823790007724451,3.975603565991212e-18,"Premium, Rising"
76,5,6759.05,101.0,135.0,7.0,1.1428571428571428,0.282842712474619,0.0,Premium
77,7,7892.1,357.0,28.25,8.0,3.3529411764705883,0.5850291930011602,0.06372549019607845,Rising
78,5,8091.5,321.0,19.71951219512195,6.0,13.666666666666666,0.3333333333333333,0.0,Mixed
79,6,9595.65,308.0,129.78107142857144,7.5,2.0625,0.3468520310590888,0.1297619047619047,"Premium, Rising"
80,5,3987.54,482.0,40.0,5.0,2.5,0.4472135954999579,-0.5000000000000003,Declining
81,5,10551.49,391.0,117.08333333333333,6.0,2.5714285714285716,0.3535533905932738,0.17857142857142833,"High-Sales, Premium, Rising"
82,5,8283.75,684.0,35.265957446808514,9.0,3.590909090909091,0.3333333333333333,8.985767264226737e-17,"High-Volume, Rising"
83,5,11883.24,636.0,39.615,6.0,24.0,0.700528900717694,0.029870129870129866,"High-Sales, High-Volume, Rising"
84,5,9326.0,257.0,155.63333333333333,5.0,1.7142857142857142,0.6849348892187751,0.3571428571428571,"Premium, Rising"
85,5,16011.15,301.0,128.0,8.0,1.380952380952381,0.5043808085167396,-0.019117647058823524,"High-Sales, Premium, Declining"
86,5,5568.63,349.0,21.0,4.0,13.0,0.5211267605633803,-0.04975369458128073,Declining
