cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
0,33,5655.35,234.0,25.75,1.0,3.0,0.0,0.0,"High-Sales, High-Volume"
1,1,7614.0,68.0,111.97058823529412,3.0,22.666666666666668,0.2797984939770654,-5.499999999999999,"High-Sales, High-Volume, Premium, Declining"
2,11,4944.5,176.0,26.0,3.0,4.75,0.5,3.4999999999999982,"High-Sales, High-Volume, Rising"
3,1,2475.96,47.0,52.68,4.0,11.75,0.7597264285683882,-6.500000000000001,"Premium, Declining"
4,2,1216.0,8.0,152.0,1.0,1.0,0.0,0.0,Premium
