cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
Noise / Outliers,49,295802.65,9359.0,40.0,9.0,5.0,0.554050452816699,-0.10000000000000021,"High-Sales, High-Volume, Premium, Declining"
Premium,9,465.0,19.0,30.0,1.0,2.0,0.0,0.0,Premium
"High-Sales, High-Volume, Declining",47,8311.1,380.0,25.0,3.0,3.0,0.42857142857142855,-7.850462293418875e-17,"High-Sales, High-Volume, Declining"
Declining,7,2755.0,127.0,20.0,3.0,5.6,0.408248290463863,-0.9000000000000004,Declining
