cluster,n,total_sales,total_qty,avg_price_med,months_active_med,mean_monthly_qty_med,cv_monthly_qty_med,trend_qty_slope_med,persona
0,2,788.11,34.0,21.38735714285714,1.0,17.0,0.0,0.0,"High-Sales, High-Volume, Premium"
1,3,277.15999999999997,17.0,15.0,1.0,6.0,0.0,0.0,High-Volume
2,2,837.0,17.0,51.75,1.0,8.5,0.0,0.0,"High-Sales, High-Volume, Premium"
