model,MAE,MSE,RMSE,MAPE,MASE,WAPE,MPE
ETS,201.48848630011082,49506.47493395475,222.5005054689871,10029.017560780534,0.7928746844064742,149.99142900752668,749.9559651720348
Holt-Winters,281.52546456639817,107070.58141162056,327.2164137258713,14791.192966515124,1.1078271417355237,209.57230612883242,1155.9273679609641
Seasonal-Naive,390.6666666666667,179286.0,423.4217755382923,18475.436952300683,1.5373072463311876,290.818858560794,1463.1554284510269
SARIMA,583.02,504552.0957333333,710.3183059258246,37710.77028563402,2.2942343108088967,434.00992555831266,1463.1554284510266
